r,g,b,rgb,spanish,en_es,russian,en_ru,german,en_de,french,en_fr,chinese,en_zh,italian,en_it,korean,en_ko,japanese,en_ja,name,short_name,med_name,cx,cy
0,141,69,14169,verde musgo claro,clear moss green,_ _ _ _ __  __,green,gr _n,green,vert fonc  ,dark green:,     _,green,verde,green,  _   ,green, _       ,dark green,dark spring green,green,forest moss,249.13,325.39
1,51,20,15120,verde pino,pine green,    ______ _ _ _   __  __,dark green,dunkelgr _n,dark green,vert fonc  ,dark green:,     _,green,verde,green,  _   ,green, _            _,dark green,midnight green,dark green,dark green,293.84,289.19
16,0,84,16084,azul,blue,_ _ ___ __,blue,blau,blue,id7,blue,     _,blue,nero,blue, __   ,navy,           _,dark blue,dark royal blue,gator blue,gator blue,294.7,244.45
16,82,8,16828,pasto fresco,fresh grass,  _ ______-_ _ _ _ __  __,dark green,dinkelgr _n,spelled green,vert fonc  ,dark green:,     _,moss color,smeraldo scuro,grass green,  _ _        _   _   ,very dark green,   ,green,bright olive green,dark green,dark green,293.68,327.98
1,69,79,16979,azul petroleo,blue oil,  _ ______-_ _ _ _ __  __,dark green,dunkelblau,dark blue,id7 de berlin,berlin blue, _         _,peacock blue,grigio verde antracite,anthracite gray green,       _   __      ,dark blue-green,     _           _,dark blue,dull dark green,blue,midnight blue,267.67,272.08
17,56,4,17564,verde oscuro,dark green,_ _ _ _ __  __,green,dunkelgr _n,dark green,vert,green,        _,army green,verde scuro,green,         ,green,      ,blackish green,sherwood green,dark green,dark green,330.03,297.1
20,66,9,20669,verde,green,_ _ _   __  __,green,dunkel gr _n,dark green,vert,green,           _,dark yellow green,verde,green,       _       ,dark green,     _,green,sherwood forest green,green,dark green,294.62,321.8
20,9,93,20993,color azul oscuro,dark blue,  _ ______-  _ ___ __,dark blue,dunkelblau,dark blue,id7 marine,navy blue,     _,blue,blu,blue,         ,blue,         ,dark blue,dark royal blue,navy,midnight blue,289.9,224.33
2,112,3,21123,verde,green,_ _ _   __  __,green,gr _n,green,vert,green,     _,green,verde,green,         ,green,   ,green,st. patrick's day green,green,forest green,269.08,330.72
2,22,69,22269,azul,blue,_ _ ___ __,blue,schwarz-blau,black and blue,id7,blue,     _,blue,blu,blue, __   ,blue,  _           _           _,very dark blue,dark navy blue,navy blue,navy blue,281.6,268.6
0,223,38,22338,verde,green,_ _ _ _ __  __,green,gr _n,green,vert,green,        _,bright green,ocra verde chiaro,ocher light green,         ,green,   ,green,bright neon green,green,bright green,203.14,425.53
0,25,244,25244,azul,blue,  _ ___ __,blue,k  nigsblau,royal blue,id7,blue,     _,blue,blu,blue,          _    ,dark blue,        _,blue,dark bright blue,blue,electric blue,185.28,115.39
0,254,45,25445,verde,green,    _ __-  _ _ _   ____  __,bright green,gr _n,green,vert,green,     _,green,verde acceso fosforescente,green,  _   ,green,        _,green,highlighter green,green,bright green,166.69,480.69
27,2,39,27239,negro fuerte,strong black,_     __  __,black,schwarz,black,id7 nuit,midnight blue,   ,black,nero,black, _       ,black,           _  _           _,midnight blue,charcoal black,midnight,dark purple,308.06,275.04
2,74,64,27464,verde oscuro,dark green,_ _ _   __  __,green,f  rstergr _n,green ranger,vert,green,        _,army green,nero,green,  _   ,green,         ,dark green,dark sea foam green,teal,blue green,266.86,289.38
0,28,200,28200,azul,blue,  _ ___ __,blue,kr _ftiges blau,strong blue,id7,blue,        _,navy blue,blu,blue,    _    ,blue,        _       _  _       ,blue is very childhood,bright royal blue,navy,indigo blue,235.56,163.16
29,1,96,29196,azul,blue,  _ ______-  _ ___ __,dark blue,dunkelblau,dark blue,id7 nuit,midnight blue,        _,navy blue,nero,blue,    _    ,blue,   ,indigo,dark violet blue,blue,simple purple,296.52,220.34
33,68,2,33682,verde aceituna,olive green,_ _ _   __  __ _ _ _ __  __  ___ _ ,green fern,gr _n,green,vert,green,      ,dark green,vered,vered,        _   ,dark green,      ,dark green,dark olive green,forrest green,forrest green,305,300.66
3,37,13,33713,verde oscuro,dark green,  _ ______-_ _ _ _ __  __,dark green,dunkel gr _n,dark green,vert,green,     _,black,verde scuro,dark, _       ,black,   ,black,shaded moss green,dark evergreen,dark evergreen,315.85,286.1
35,2,25,35225,cafe intenso,strong coffee,    _ _ __   _   __  __,bright black,schwarz,black,violet foncet,purple lock cover,     _,black,nero,black, _       ,black,   ,black,dark blackish purple,plum,black,319.38,291.11
3,53,76,35376,azul obscuro,dark blue,  _ _______  ____  _____  ___ _ __,the dark night sky,dunkelblau,dark blue,id7,blue,        _,dark blue,blu scuro,dark blue,          _    ,dark blue,   ,navy blue,dark teal green,blue,dark blue,275.18,270.17
3,57,58,35758,verde monte,green mount,  _ ______ _ _ _ _ __  __,dark green,dunkelgr _n,dark green,id7 noir,blue black,        _,dark green,blu scuro,blue,       _  __   ,dark green,        _,green,dark jade green,pine green,pine green,303.51,282.32
3,79,32,37932,verde sucio oscuro,dark dirty green,  _ ______ _ _ _ _ __  __,dark green,dunkelgr _n,dark green,vert bouteille,bottle green,     _,green,verde primavera scuro,dark green spring,        _   ,dark green,     _           _  _,dark green,christmas green,dark green,hunter green,269.58,303.99
3,81,88,38188,azul petroleo,oil blue,  _ ___ -_ _ _ _ __  __,blue-green,blau,blue,id7 petrole,blue oil,        _,navy blue,verdone chiaro,green,           _    ,dark blue,  _     _        _,marine blue,rainforest green,dark blue,dark teal,253.3,280.77
3,83,35,38335,verde abscuro,green abscuro,  _ ______-_ _ _ _ __  __,dark green,gr _n,green,vert,green,        _,dark green,verde,green,  _   ,green,              _,green shoi,hunters green camo,hunter green,hunter green,264.13,302.17
39,98,0,39980,verde oscuro,dark green,  _ ______-_ _ _ _ __  __,dark green,dunkles olivgr _n,dark olive green,vert,green,        _,grass green,verde,dark green,     _   ,dark green,   ,green,light hunter green,green,grassy green,280.97,327.59
4,196,7,41967,verde,green,_ _ _ _ __  __,green,gr _n,green,vert,green,     _,green,verde,green,  _   ,green,   ,green,dark pastel green,lime,scream green,250.57,409.03
42,3,13,42313,negro,black,_ __  _   ___ __  __,brown,dunkelbraun,dark brown,marron fonc  ,dark brown,    _   _,dark brown,marone,brown,    _  _    ,chocolate, _      _,dark brown,chocolate brown,chocolate,chocolate,341.09,295.33
43,6,23,43623,color negro,color black,_     __  __,black,dunkelbraun,dark brown,noir,black,    _    ,eggplant purple,nero,black, _    ,black, _       ,dark purple,dark maroonish purple,black,black,331.22,283.92
44,91,2,44912,verde   rbol de navidad,green christmas tree,_ _      _   _ _ ,oak leaf,waldgr _n,forest green,vert,green,   ,green,j,green,  _   ,green,         ,dark green,dark spruce green,olive,scott green,274.15,298.65
4,5,133,45133,azulino,bluish,_____ _ _        _ ___ __,cobalt blue,blau,blue,id7,blue,        _,navy blue,blu,blue,          _ ,dark blue, _       ,dark blue,true royal blue,blue,royal blue,272.59,208.63
46,34,5,46345,cafe,coffee,  _ ______-_ __  _   ___ __  __,umber,grauschwarz,gray black,noir aniline,aniline black, _   _,brown,nero,black,       _        ,dark brown,     _,brown,moonless night,walnut,dark brown,304.54,238.22
4,70,14,47014,verde,green,  _ ______-_ _ _ _ __  __,dark green,dunkelgr _n,dark green,vert,green,        _,army green,verde notte,green,  _   ,green,   ,green,robin hood green,green,pine green,282.01,315.68
4,93,28,49328,verde oscuro,dark green,  _ ______ _ _ _ _ __  __,dark green,dunkelgr _n,dark green,vert,green,        _,dark green,verde,green,         ,green,     _,green,perfectly green,green,emerald green,268.59,324.26
49,4,60,49460,negro tormentoso,stormy black,_     __  __,black,lila,purple,ultra-violets,ultraviolet,     _,indigo,viola,violet, _   _   ,purple, _      _,purple-black,royal king purple,black,durklepurple,328.22,261.23
5,11,51,51151,azul marino oscuro,dark navy,  _ ______-  _ ___ _   ____  __,plum,tiefdunkles blau,deep dark blue,id7 marine,navy blue,        _,navy blue,blu,blue,         ,blue,     _           _,dark blue,deep dark blue,blue,pinstripe blue,313.67,276.54
51,52,6,51526,verde fuerte,strong green,  _   __  __,sable,baumgr _n,green tree,vert fonc  ,dark green,        _,army green,h,dark brown,  _   ,green, _            _,dark green,not quite black,forst green,forst green,310.05,304.5
5,155,0,51550,verde fuerte,strong green,_ _ _ _ __  __,green,gr _n,green,vert,green,     _,green,verde,green,  _   ,green,        _           _  _,bright green,green of nature,green,grass green,267.84,373.8
51,78,2,51782,verde,green,  _ ______-_ _ _ _ __  __,dark green,gr _n,green,vert fonc  ,dark green:,        _,army green,verde,green,  _   ,green,   ,green,deep jungle green,moss,olive green,312.69,309.78
52,33,4,52334,cafe,coffee,  _   ____-_ __  _   ___ __  __,black-brown,schwarz,black,marron,brown,        _,dark brown,antracite scuro,iron color,       _        ,dark brown,   ,brown,chocolate brown,dirt,black brown,326.75,272.38
52,97,5,52975,verde soldado,green soldier,  _ ______-_ _ _ _ __  __,dark green,tannen gr _n,fir green,vert,green,     _,green,verde,green,        _   ,dark green,        _  _,green,deep sage green,green,forest green,300.41,327.84
5,46,93,54693,azul oscuro,dark blue,  _ ___ __,blue,rembrand blau,rembrandt blue,id7 fonc  ,dark blue,      ,blue,blu di prussia,blue, __   ,navy,   ,navy blue,patriotic blue,blue,dark blue,255.34,252.91
0,56,187,56187,azul,blue,_ _ ___ __,blue,blau,blue,id7,blue,     _,blue,blu,blue,    _ ,blue,     _,blue,dark ocean blue,blue,sky blue,204.18,181.42
56,32,1,56321,cafe,coffee,    ______-_ __  _   ___ __  __,umber,dunkelbraun,dark brown,marron,brown,     _,brown,nero,brown,      ,brown,     _,brown,deep chocolate,espresso,chocolate,347.15,292.49
5,68,23,56823,verde oscuro,dark green,  _ ____-_ _ _ _ __  __,temo green,gr _n,green,vert,green,     _,green,verde scuro,dark green,  _   ,green,   ,green,dark dark green,darkened green,darkened green,289.07,305.06
5,80,51,58051,verde oscuro,dark green,_ _ _ _ __  __,green,dunkel moosgr _n,dark green moss,vert fonc  ,dark green:,        _,dark green,verde,green,         ,dark green,        _,green,medium hunters green,green,forest green,264.75,310.09
59,0,20,59020,bord _ oscuro,dark burgundy,  _ ______-_ __  _   ___ __  __,umber,braun,brown,id8 marron,red brown,   ,black,testa di moro,dark brown,      ,brown,  _   ,purplish red,big foot brown,brown,brown,341.22,268.21
59,31,6,59316,cafe oscuro,dark brown,_ __  _   ___ __  __,brown,signalbraun,signal-brown,marron,brown,     _,brown,marrone,brown,      ,brown,     _,brown,chocolate brown,brown,brown,340.91,276.96
59,49,1,59491,marron negroide,brown negroid,_ _ _ _ _______   __-_ __  _   ___ __  __,greenish-brown,braun,brown,brun,brown,       _ ,dark olive,marrone,brown,      ,brown,     _,brown,greenish black,greenish brown,greenish brown,335.13,291.33
61,0,47,61047,morado,purple,  _ ______-  _   _ ___ __  __,dark purple,dunkelviolett,dark purple,violet,purple,     _,purple,nero,purple,       _   _   _   ,dark purple,   ,purple,blackcurrant purple,stanley plum,stanley plum,336.56,272.05
61,16,5,61165,marron,brown,_ __  _ ____  __,vinous,dunkelbraun,dark brown,marron,brown,        _,dark brown,marrone,brown,      ,brown,           _   ,burnt red tea,chocolate brown,dark brown,dark brown,347.92,285.86
6,13,67,61367,azul oscuro,dark blue,    ______-  _ ___ __,dark blue,dunkelblau,dark blue,id7 profond,deep blue,      ,deep blue,blu scuro,blue,    __   ,ultramarine,     _,deep blue,super dark royal blue,dark blue,very dark blue,288.86,272.43
6,137,2,61372,verde oscuro,dark green,_ _ _ _ __  __,green,dunkelgr _n,dark green,vert,green,     _,green,verde scuro,dark green,  _   ,green,   ,green,mr. green jeans,green,forest green,253.81,353.21
6,32,39,63239,gris,gray,    ____  __   ___   _  ____    _ ____ _____ __  ,dark navy blue,anthrazit,anthracite,noir,black,     _,black,nero,black, _       ,black,      ,black,deepest graphite,black,black,296.82,273.08
63,32,6,63326,color marr _n oscuro,dark brown,  _ ____  __ __  _   ,dark walnut,braun,brown,marron,brown,     _,brown,marrone scuro,dark brown,      ,brown,   ,brown,root beer brown,brown,black brown,353.36,290.08
63,52,4,63524,marr _n barroco,baroque brown,  _ _______ __  _   ___ __  __,dark brown,dunkelbraun,dark brown,marron,brown,    _   _,dark brown,verde,green,      ,brown,     _           _  _,dark brown,dark hazel brown,brown,brown,335.43,299.52
63,8,46,63846,morado,purple,_ _   __  __,black,dunkelrot,dark,violet fonc  ,dark purple,     _,purple,marrone scuro,dark brown, _   _   ,purple, _         _,dark purple,twilight lavendar,plum,dark purple,346.18,280
6,43,22,64322,verde oscuro,dark green,  _ ______-_ _ _ _ __  __,dark green,gr _n,green,vert fonc  ,dark green:,     _,green,verde,green,                ,dark green,     _           _  _,dark green,dark pine green,black,dark green,287.68,290.71
6,79,53,67953,verde musgo,moss green,_ _ _   __  __,green,gr _n,green,vert,green,      ,dark green,verde scuro,lawn green,  _   ,green,           _,deep green,pinetree green,green,blue green,259.45,297.85
68,9,60,68960,purpura,purple,__    _ ____-_ __  _ ____  __,dirty burgundy,violet,violet,mauve,mauve,        _,blue-violet,violetto scuro,violet, _   _   ,purple,   ,purple,midnight purple,purple,eggplant,338.42,258.97
7,0,153,70153,azul oscuro,dark blue,    _ __-  _ ___ __,bright blue,blau,blue,id7,blue,     _,blue,blu,blue, __   ,blue,   ,blue,deep ocean blue,blue,uniform blue,263.38,196.29
70,6,69,70669,morado,purple,    ______-  _ ___ _   ____  __,plum,violett,violet,violet fonc  ,dark purple,     _,purple,viola,purple,       _   _   _   ,dark purple,   ,purple,halloween purple,mauve,purely purple,334.89,263.76
70,70,8,70708,verde,green,___ _ ___ ____  __,olive,kaki,kaki,vert fonc  ,dark green:,        _,dark green,verde,green,      ,brown, _      _,dark green,dark army green,dark green,jungle green,330.51,305.47
70,7,44,70744,morado fuerte,strong purple,_ _ _ _ _ _ _ ______  __,aubergine,dunkelrot,dark,marron violet,brown violet,     _,purple,amarro,purple,      ,brown,      ,deep purple,brownish purple,dark purple,dark purple,353.42,274.51
72,39,5,72395,cafe,coffee,_ __  _   ___ __  __,brown,braun,brown,marron,brown,     _,brown,marrone,brown,      ,brown,     _,brown,chocolate brown,brown,dark brown,358.13,284.05
7,26,76,72676,azul obscuro,dark blue,  _ ______-  _ ___ __,dark blue,k  nigsblau,royal blue,id7 profond,deep blue,     _,blue,blu,blue,           _    ,dark blue,   ,blue,night time blue,blue,midnight blue,281.21,259
73,9,59,73959,morado oscuro,purple,  _ ___ _   ____  __,violet,violett,violet,aubergine (violet aubergine ),aubergine (eggplant purple),     _,purple,viola susina matura,purple ripe plum, _   _   ,purple,      ,deep purple,deep purple plum,purple,brown purple,343.72,262.21
7,4,182,74182,azul,blue,    _ __-  _ ___ __,bright blue,blau,blue,id7 fonc  ,dark blue,     _,blue,blu,blue-violet,    _    ,blue,   ,blue,deep royal blue,blue,dodger blue,246.63,178.44
80,0,86,80086,violeta,violet,___ ___ _   ____  __,purple,dunkelviolett,dark purple,violet fonc  ,dark purple,     _,purple,violet,violet,        _   _,deep purple,        _            ,violet,popping purple,purple,purple wine,340.96,247.58
8,1,168,81168,azul,blue,  _ ___ __,blue,blau,blue,id7,blue,     _,blue,blu,blue,    _ ,blue,                       _,medium blue,neon bright blue,blue,medium navy,258.93,181.68
84,17,1,84171,marr  n oscuro,dark brown,  ___   _  _ _   ___   ,burnt umber,dunkles rotbraun,dark reddish brown,marron,brown, _   _,brown,marrone,brown,      ,brown,     _,brown,mahoganny brown,brown,dark leather,370.18,286.84
84,6,80,84680,color violeta oscuro,dark violet,  _ _ ______  __,plum,violett,violet,violet,purple,     _,purple,viola scuro,purple, _   _   ,purple,   ,purple,morning glory purple,purple,royal purple,383.18,266.8
86,16,3,86163,marron oscuro,dark brown,____  _   ___ __  __,brown,braun,brown,id8 fonc  ,dark red,     _,brown,marone,brown,      ,brown,     _,brown,chestnut brown,maroon,dark leather,378.93,280.82
9,0,106,90106,azul rey,blue king,  _ ___ __,blue,blau,blue,id7 fonc  ,dark blue,      ,navy,blu,blue, __   ,blue,     _     _        _,navy blue,deep royal blue,navy blue,dark blue,276.77,220.78
0,92,252,92252,azul,blue,  _ ___ __,blue,stahlblau,steel blue,id7,blue,     _,blue,blu,blue,    _    ,blue,     _,blue,swimming pool blue,blue,stunning blue,141.24,135.61
92,5,52,92552,morado vino,purple wine,___ ____,wine,dunkellila,dark purple,bordeaux,burgundy, _         _,dark magenta,marrone,brown,        _ _   _   ,dark purple blood, _   _  _,dark red,berry berry purple,maroon,eggplant,366.13,272.58
9,28,23,92823,negro noche,black night,      __  __,black,schwarz,black,noir,black,     _,black,nero,black, _       ,black,   ,black,midnight black,black,black,319.13,280.55
93,21,0,93210,cafe,coffee,  _ ______ _ __  _   ___ __  __,dark brown,dunkelbraun,dark brown,marron chatain fonc  ,dark chestnut brown,        _,dark brown,marrone,brown, _       ,black,   ,crimson,chocolate brown,brown,dark brown,388.09,288.9
93,41,5,93415,cafe oscuro,dark brown,_ __  _   ___ __  __,brown,braun,brown,marron fonce,dark brown,     _,brown,marrone chiaro,brown,      ,brown,     _,brown,cinnamon chocolate,brown,saddle brown,383.75,301.39
94,0,51,94051,morado oscuro,purple,  ___   _ __-_ __  _ ____  __,light purple,brombeer-rot,blackberry-red,prune,plum,     _,maroon,viola,violet, _   _   ,purple,              _  _,red wine,dark purplish pink,maroon,burgandy,367.03,264.43
9,4,106,94106,azul,blue,  _ ___ __,blue,dunkles mitternachtsblau,dark midnight blue,id7,blue,     _,blue,azzurro,blue,    _ ,blue,            ,long navy blue,deep space blue,dark blue,dark blue,283.23,224.61
94,6,64,94664,lila en la noche,lilac at night,_ __  _ ____  __,vinous,lila,purple,violet,purple,     _,purple,rosso scuro,purple, _   _   ,purple,           _,budoiro,midnight satin purple,purple,purple,362.15,252.76
95,75,2,95752,cafe,coffee,_ __  _   ___ ___     __,brownish,schokoladenbraun,chocolate-brown,kaki,khaki,     _,brown,marone,brown,             ,light brown,                  ,greenish brown,some type of brown,brownish green,brownish green,363.85,312.54
96,6,60,96660,morado,purple,  _ ___ _   ____  __,violet,burgunder,burgundy,prune,plum, _   _,brown,verde,seaweed green, __   ,blue,           _  _,deep green,dark navy green,navy,midnight blue,290.35,283.91
9,66,60,96660,morado,purple,  _ ___ _   ____  __,violet,burgunder,burgundy,prune,plum, _   _,brown,verde,seaweed green, __   ,blue,           _  _,deep green,purple passion,maroon,deep burgandy,366.76,245.56
9,69,60,96960,azul viejo,old blue,_ _ _ _ __  __,green,dunkelgr _n,dark green,vert,green,      ,dark green,viola,if the green,         ,green,                 _,about green,deep aquamarine,dark green,emerald green,274.6,292.8
98,52,0,98520,cafe,coffee,____  _   ___ __  __,brown,dunkles braun,dark brown,marron,brown,     _,brown,marone,brown,      ,brown,     _,brown,chocolate brown,brown,woodsy brown,379.05,297.38
10,108,3,101083,verde,green,_ _ _ _ __  __,green,dunkles gr _n,dark green,vert,green,        _,dark green,verde,green,  _   ,green,        _,green,pool table green,green,forest green,304.36,333.44
10,15,68,101568,azul marino,navy blue,  _ ____  __   _ ___ __,dark blue,dunkelblau,dark blue,id7 nuit mat,midnight blue mat,    _    ,midnight blue,blu,navy blue,      ,blue,              _      ,very dark blue,dark navy blue,navy blue,navy blue,290.06,267.13
101,7,64,101764,elegante,elegant,_ __  _ ____  __,vinous,weinrot,burgundy,pourpre (h  raldique),purple (heraldry), _      _,dark purple,viola scuro,dark purple,        _   _   ,deep purple,      ,deep purple,electric indigo,plum,deep burgandy,369.18,250.53
0,103,132,103132,azul marino,navy blue,  _ __,blue,matt blau,matt blue,id7,blue,           _,dark gray blue,blu chiaro,light blue,         ,blue,   ,blue,dark turquoise,teal,teal blue,225.16,262.97
103,99,0,103990,verde aceituna quemado,burned olive green,_ _ _ _ _______   __-_ __  _   ___ __  __,greenish-brown,schlammgr _n,green mud,vert,green,     _,green,nero,green, _   _   ,khaki color,   ,brown,deep olive green,green brown,green brown,346.31,319.63
10,43,88,104388,azul,blue,  _ ______-  _ ___ __,dark blue,blau,blue,id7 marine,navy blue,        _,navy blue,blu,blue,    _    ,blue,   ,blue,dark navy blue,navy,dark blue,269.14,252.51
10,58,64,105864,azul fuerte,deep blue,_ _ _ _ __  __,green,blaugr _n,blue-green,id7 fonc  ,dark blue,        _,army green,verde scuro,dark green,     __   ,steamed green,      ,dark green,dark blue teal,midnight blue,midnight blue,283.92,282.41
10,67,28,106728,verde,green,_ _ _   __  __,green,tiefgr _n,deep green,vert,green, _      _,dark green,verde,green,        _   ,dark green,   ,green,dark forest green,dark green,forest green,235.25,279.41
107,90,1,107901,marron,brown,  _ _ _ ,khaki,gr _n,green,marron,brown,     _,brown,verde,green,    _       ,olive,     _,brown,dark olive green,brown,brown,367.66,319.13
111,5,99,111599,violeta,violet,  _ ______ _     _     __  __,dark purple,purpur,purple,violet fonc  ,dark purple,        _,deep purple,violet,violet, _   _   ,purple,  _     _,magenta,deep raspberry,plumb,purple grape,363.3,233.23
112,82,2,112822,marron,brown,  _ ______ _ __  _   ___ __  __,dark brown,braun,brown,marron caca,brown poo, _   _,brown,marrone,brown,        _       ,light brown, _         _,dark brown,chestnut brown,brown,golden brown,370.93,314.6
113,98,2,113982,oliva,olive,  ___   _ __ _ __  _   ___ __  __,light brown,gr _nbraun,green-brown,vert avocat,avocado green,        _,army green,marroncino,brownish,      ,brown,     _,brown,goldenish brown,olive,golden brown,352.99,321.26
11,42,22,114222,de color negro,black color,_ _ _ _ __  __,green,dunkelgr _n,dark green,noir,black,   ,black,verde bottiglia scuro,dark green bottle, _    ,black,      ,dark green,dark green black,pine tree,pine tree,299.32,288.83
114,87,3,114873,marron,brown,_ __  _   ___ __  __,brown,braun,brown,marron clair,light brown, _   _,brown,marrone scuro,brown,      ,brown,   ,brown,murky yellow brown,brown,golden brown,366.73,325.24
117,0,13,117013,rojo ladrillo,red brick,_ __  _ ____  __,vinous,kirsch,cherries,id8,red,     _,red,marrone medio,medium brown,      ,brown,   ,crimson,intense red-brown,red,brick red,404.42,287.16
1,209,67,120967,pistache,pistachio,  _ _ _   ____  __,green,gr _n,green,vert,green,     _,green,verde,green,  _   ,green,     _           _  _,lime green,electric green,green,electric green,187.28,419.57
121,0,81,121081,violeta,violet,  _ ______-  _   _ ___ __  __,dark purple,dunkellila,dark purple,violet,#name?,     _,purple,viola,violet, _   _   ,purple,            ,purple,purple passion,burgundy,dark fushsia,375.49,240.14
1,215,39,121539,verde manzana,green apple,_ _ _   __  __,green,gr _n,green,vert,green,     _,green,verde acceso,green,  _   ,green,        _,green,watermelon green,green,green,194.85,418.64
12,18,84,121884,azul oscuro 02,dark blue 02,  _ ___ __,blue,blau,blue,id7 fonc  ,dark blue,     _,blue,blu notte,midnight blue,    __   ,dark blue,      ,dark blue,very dark blue,blue,blue,277.36,254
1,226,37,122637,verde brillante,bright green,  ___   _ __-_ _ _ _ __  __,light green,gr _n,green,vert,green,        _,army green,verde mela,green,         ,green,   ,green,flourescent green,lime,bright green,207.67,437.02
1,240,22,124022,verde limon,lime green,    _ __-  _ _ _   ____  __,bright green,wiesen gr _n,designated green,vert,green,     _,green,verde brillante,green,        _   ,bright green,   ,green,it green alright,green,yellow green,179.03,462.82
124,4,27,124427,marron,brown,  _ ______-___ _ _ ______  __,dark crimson,dunkel rot,dark red,id8 fonc  ,dark red,        _,scarlet,rosso,red, _       ,red,   ,crimson,dark brick red,brick,red is brown,404.18,280.7
12,45,18,124518,verde,green,_ _ _ _ __  __ _ _     _   ,green velvet,gr _n,green,vert tres fonc  ,very dark green,     _,black,verde scuro,dark green,       _    _   ,dark green,        _,dark green,rainforest green,black,black,311.62,291.46
124,94,7,124947,marron,brown,_ _ _ _ __,cacao,braun,brown,marron,brown, _   _,brown,marrone,brown,      ,ocher,  _                 _,dark brown bright,yellowish brown,brown,bronze yellow,386.08,326.56
1,26,221,126221,azul rey,royal blue,  _ ___ __,blue,k  nigsblau,royal blue,id7,blue,     _,blue,azzurro,blue,    _    ,blue,   ,blue,parsed royal blue,blue,bright blue,210.06,143.53
127,5,42,127542,rojo sangre,red blood,__  _   __  __,red,rubin,ruby,bordeau,burgundy,      ,true red,rosso,maroon,  _      ,crimson,  _   ,purplish red,dark raspberry,red,red is brown,395.88,261.25
