_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,ask_question_here,ask_question_here:confidence,q1_identify_the_term_that_is_associated_with_the_most_amount_of_positive_sentiment_or_least_amount_of_negative_sentiment,q1_identify_the_term_that_is_associated_with_the_most_amount_of_positive_sentiment_or_least_amount_of_negative_sentiment:confidence,q2_identify_the_term_that_is_associated_with_the_most_amount_of_negative_sentiment_or_least_amount_of_positive_sentiment,q2_identify_the_term_that_is_associated_with_the_most_amount_of_negative_sentiment_or_least_amount_of_positive_sentiment:confidence,_created_at,orig__golden,orig__unit_id,_updated_at,orig_q1_identify_the_term_that_is_associated_with_the_most_amount_of_positive_sentiment_or_least_amount_of_negative_sentiment,q1_identify_the_term_that_is_associated_with_the_most_amount_of_positive_sentiment_or_least_amount_of_negative_sentiment_gold,q1_identify_the_term_that_is_associated_with_the_most_amount_of_positive_sentiment_or_least_amount_of_negative_sentiment_gold_reason,orig_q2_identify_the_term_that_is_associated_with_the_most_amount_of_negative_sentiment_or_least_amount_of_positive_sentiment,q2_identify_the_term_that_is_associated_with_the_most_amount_of_negative_sentiment_or_least_amount_of_positive_sentiment_gold,q2_identify_the_term_that_is_associated_with_the_most_amount_of_negative_sentiment_or_least_amount_of_positive_sentiment_gold_reason,w1,w2,w3,w4
802926523,true,golden,16,,,,#confident,1,mad,1,,true,,,,#confident,,,,,can't beat,mad,bit,#confident
802926524,true,golden,18,,,,:),1,#unwanted,0.8325,,true,,,,:),,,,,dumb,:),attention,#unwanted
802926525,true,golden,15,,,,mom,1,lie,0.5316,,true,,,,mom,,,,,lie,mom,writing,not happy
802926526,true,golden,25,,,,hi-5,0.7734,horror,1,,true,,,,hi-5,,,horror,,horror,don't know,class,hi-5
802926527,true,golden,20,,,,#sweet,0.9602,ignored,1,,true,,,,#sweet,,,"ignored
apologise",,keep,#sweet,ignored,apologise
802926528,true,golden,18,,,,elegant,0.8886,hate,1,,true,,,,elegant,,,hate,,no negative,don't notice,hate,elegant
802926529,true,golden,17,,,,bday,1,damn,0.8247,,true,,,,bday,,,,,anyway,no idea,bday,damn
802926530,true,golden,14,,,,band,1,#rude,0.5732,,true,,,,band,,,,,#dumb,band,eww,#rude
802926533,true,golden,17,,,,beautiful,0.7589,#wrong,1,,true,,,,,,,#wrong,,#wrong,elegance,beautiful,not necessarily
802926534,true,golden,18,,,,#inspirational,1,embarrassment,1,,true,,,,#inspirational,,,embarrassment,,#inspirational,unfollowed,interview,embarrassment
802926535,true,golden,21,,,,bet,0.4349,#lowlife,0.92,,true,,,,,,,#lowlife,,not buying,#lowlife,busy,bet
802926536,true,golden,19,,,,thx,1,#annoying,0.8411,,true,,,,thx,,,,,#annoying,#whoops,thx,#slag
802926537,true,golden,15,,,,<3,0.804,poor,1,,true,,,,,,,poor,,poor,cool,<3,heehee
802926538,true,golden,17,,,,promoz,0.581,disgusting,1,,true,,,,,,,disgusting,,#student,promoz,disgusting,not planning
802926539,true,golden,15,,,,yays,0.8734,doesn't dampen,0.4646,,true,,,,yays,,,,,yays,take,doesn't dampen,grade
802926540,true,golden,18,,,,hahah,0.9481,gonna,0.7254,,true,,,,hahah,,,,,video,hahah,gonna,photo
802926541,true,golden,12,,,,goooodnight,1,abuse,0.6702,,true,,,,goooodnight,,,,,goooodnight,thought,abuse,#heartbroken
802926542,true,golden,20,,,,totally,1,can't handle,0.795,,true,,,,totally,,,,,awkward,totally,missing,can't handle
802926543,true,golden,22,,,,#feelinggood,1,not worth,1,,true,,,,#feelinggood,,,not worth,,found,#feelinggood,not worth,chillin
802926544,true,golden,14,,,,approve,0.9383,mean,0.6495,,true,,,,approve,,,,,haven't talked,#needalife,approve,mean
802926545,true,golden,12,,,,#fantastic,1,assure,0.8291,,true,,,,,,,assure,,assure,cute,#fantastic,sweet
802926546,true,golden,15,,,,#gorgeous,0.9342,appalling,1,,true,,,,#gorgeous,,,appalling,,appalling,#giveaway,#gorgeous,listening
802926548,true,golden,15,,,,wine,0.608,#fuckoff,1,,true,,,,,,,#fuckoff,,#fuckoff,wine,met,say
802926549,true,golden,18,,,,#dreamy,0.6679,#disgusting,1,,true,,,,,,,#disgusting,,#disgusting,#dreamy,no damage,cheers
802926550,true,golden,15,,,,sunshine,0.9327,not fair,0.8129,,true,,,,sunshine,,,not fair,,not fair,sunshine,breeze,can't cook
802926551,true,golden,15,,,,push,0.8726,fucked,0.9425,,true,,,,,,,fucked,,fucked,push, false,not attainable
802926552,true,golden,14,,,,#graceful,1,-_-,0.7795,,true,,,,#graceful,,,,,#graceful,#cosmetics,spreading,-_-
802926553,true,golden,17,,,,smilin,0.9419,#notokay,1,,true,,,,,,,#notokay,,smilin,kids,can't pull,#notokay
802926554,true,golden,19,,,,refreshed,0.6257,:s,0.6867,,true,,,,,,,:s,,:s,refreshed,book,can't waaait
802926555,true,golden,23,,,,amused,0.8671,fuckin,0.6958,,true,,,,"recommends
amused",,,"fuckin
#needy",,fuckin,recommends,amused,#needy
802926556,true,golden,14,,,,howdy,0.926,#angry,1,,true,,,,,,,#angry,,howdy,little,house,#angry
802926559,true,golden,15,,,,#inspired,1,make,0.5283,,true,,,,#inspired,,,,,recommendations,make,#inspired,evening
802926560,true,golden,18,,,,:],0.7819,worried,1,,true,,,,:],,,,,blush, true,worried,:]
802926561,true,golden,22,,,,#inspire,1,#rantover,0.597,,true,,,,#inspire,,,#rantover,,meet,#rantover,don't try,#inspire
802926562,true,golden,16,,,,w00t,1,no morals,0.884,,true,,,,w00t,,,no morals,,miss,ciao,w00t,no morals
802926563,true,golden,18,,,,amusing,0.8911,shot,0.8875,,true,,,,"amusing
woho",,,shot,,shot,amusing,woho,breath
802926564,true,golden,10,,,,stimulate,1,#hurt,0.4048,,true,,,,stimulate,,,,,#pitiful,stimulate,#hurt,rip
802926565,true,golden,12,,,,not random,0.9249,#fail,0.5033,,true,,,,not random,,,,,not random,hopeless,#petpeeve,#fail
802926566,true,golden,9,,,,time,0.4665,#horrendous,1,,true,,,,,,,#horrendous,,#horrendous,plan,time,serious
802926567,true,golden,17,,,,#relaxation,0.9401,beg,0.822,,true,,,,#relaxation,,,,,not looking,#relaxation,beg,not hatin
802926568,true,golden,17,,,,#breathtaking,1,#immature,1,,true,,,,#breathtaking,,,#immature,,long,#breathtaking,amount,#immature
802926569,true,golden,24,,,,hear,1,revolting,1,,true,,,,hear,,,revolting,,revolting,not paying,don't actually,hear
802926570,true,golden,20,,,,congrats,1,working,0.9533,,true,,,,congrats,,,,,send,self,congrats,working
802926571,true,golden,17,,,,g'night,1,mediocrity,0.8924,,true,,,,g'night,,,mediocrity,,no alarm,g'night,waiting,mediocrity
802926572,true,golden,10,,,,#encouraging,1,no pressure,0.3917,,true,,,,#encouraging,,,,,no pressure,#encouraging,train,calling
802926573,true,golden,16,,,,introduce,0.9387,#shame,0.9369,,true,,,,introduce,,,#shame,,introduce,#shame,wasted,haven't heard
802926574,true,golden,20,,,,unsure,0.8555,shootings,0.5159,,true,,,,unsure,,,,,unsure,woeful,scariest,shootings
802926575,true,golden,21,,,,fantastic,1,sleazy,0.575,,true,,,,fantastic,,,,,fantastic,#sosad,sleazy,#fat
802926576,true,golden,12,,,,phone,0.7484,abysmal,0.6795,,true,,,,phone,,,abysmal,,#help,phone,abysmal,#weak
802926578,true,golden,13,,,,peek,0.9155,#notgoodenough,1,,true,,,,,,,#notgoodenough,,hard,#notgoodenough,peek,public
802926579,true,golden,24,,,,lmaoo,0.9312,worse,0.7554,,true,,,,lmaoo,,,,,worse,lmaoo,don't think,no balls
802926580,true,golden,19,,,,humor,0.7938,#rant,0.896,,true,,,,humor,,,#rant,,#forgiveme,#rant,included,humor
802926581,true,golden,10,,,,exciting,0.8993,depressing,1,,true,,,,exciting,,,depressing,,rain,exciting,yes,depressing
802926583,true,golden,17,,,,sunny,1,banned,0.5871,,true,,,,sunny,,,,,banned,#grimey,sunny,bed
802926584,true,golden,21,,,,#poise,0.7245,#ugh,1,,true,,,,,,,#ugh,,tweeting,#ugh,#poise,discreet
802926585,true,golden,15,,,,enjoy,1,lose,1,,true,,,,enjoy,,,,,enjoy,not saying,lose,quotes
802926586,true,golden,12,,,,#kind,0.9328,#fuckup,0.8255,,true,,,,#kind,,,,,inexactly,#kind,#fuckup,#scum
802926587,true,golden,14,,,,boogie,0.7992,upset,1,,true,,,,,,,upset,,follow,boogie,room,upset
802926588,true,golden,19,,,,gawjuss,0.3716,unacceptable,1,,true,,,,,,,unacceptable,,unacceptable,can't waiiit,nothing compares,gawjuss
802926589,true,golden,18,,,,dead gorgeous,1,super slow,0.7447,,true,,,,dead gorgeous,,,,,dead gorgeous,super slow,everyone fell asleep,weird dream
