_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,human_relation,human_relation:confidence,human_relation_type,human_relation_type:confidence,documentid,gold,human_relation_gold,human_relation_gold_reason,human_relation_type_gold,human_relation_type_gold_reason,text
711477211,true,golden,94,,question,1,caused side effect,0.9587,t18,true,5,the author asks about the possibility of two concepts being related.,1,the author asks whether taking a drug could lead to the specified side-effect.,"has anyone had a <font color=""red"">rash</font> side effect from <font color=""blue"">lamictal</font>."
711477212,true,golden,95,,personal experience negated,0.841,caused side effect,0.6785,t19,true,2,the author relates to an event s/he experienced personally.,1,the author explicitly states not experiencing any problems with the drug.,"i have been on <font color=""blue"">lamictal</font> for over a year and i haven't had any problems with the <font color=""red"">rash</font>."
711477213,true,golden,98,,impersonal experience,0.9641,caused side effect,0.9641,t20,true,3,there is no explicit statement that the author experienced the event personally.,1,there is an explicit statement that the side-effect is caused by the drug.,"some people have a problem with <font color=""red"">depression</font> with <font color=""blue"">yasmin</font> though."
711483482,false,finalized,3,4/30/15 11:04,impersonal experience,1,caused side effect,1,1,false,,,,,"i am aware that the dhea/<font color=""blue"">testosterone</font> could cause <font color=""red"">increased hair growth</font>, although i also took aldactone to combat that side effect and actually had taken the aldactone up until about feb of this year."
711483483,false,finalized,3,4/29/15 19:56,impersonal experience,1,caused side effect,1,2,false,,,,,"<font color=""blue"">bentyl</font> has similar side effects to benadryl (also an anticholinergic medication): headache, <font color=""red"">insomnia</font>, heart palpitations, dry mouth, constipation, and urinary retention."
711483484,false,finalized,3,4/29/15 20:45,personal experience,1,caused side effect,0.6596,3,false,,,,,"i get <font color=""red"">nonpitting edema</font> from some medications: namely some nsaids (aleve, etc) and some cox2 inhibitors (vioxx) and some statins (<font color=""blue"">simvastatin</font> (zocor))."
711483485,false,finalized,3,4/29/15 17:02,impersonal experience,0.6712,is contraindicated in,0.6712,4,false,,,,,"first of all prednisone is known for giving headaches so if you have <font color=""red"">migraines</font> i would definately not take <font color=""blue"">steroids</font>."
711483486,false,finalized,3,4/30/15 8:34,personal experience,1,caused side effect,0.6735,5,false,,,,,"anyway, the nurse thinks it's weird that the <font color=""red"">rash</font> would just be on my hands if it's from the <font color=""blue"">lisinopril hctz</font>."
711483487,false,finalized,3,4/29/15 18:14,impersonal experience,1,caused side effect,1,6,false,,,,,"i read on one of the threads awhile ago that <font color=""blue"">riba</font> gives you <font color=""red"">insomnia</font>, so it is better to take the three riba tablets in the morning and the two at night."
711483488,false,finalized,3,4/29/15 17:02,personal experience,0.6712,caused side effect,1,7,false,,,,,"6it sure sounds to me like taking <font color=""blue"">iodine</font> makes me more <font color=""red"">hypothyroid</font>."
711483489,false,finalized,3,4/30/15 1:33,personal experience negated,1,caused side effect,1,8,false,,,,,"i've taken <font color=""blue"">ambien</font> without having <font color=""red"">hallucinations</font>, however, it gives me a bad stomach-ache the next day."
711483490,false,finalized,3,4/29/15 21:28,personal experience,1,caused side effect,1,9,false,,,,,"with <font color=""blue"">librax</font> and bentyl, i get <font color=""red"">drowsiness</font>."
711483491,false,finalized,3,4/29/15 16:59,impersonal experience,1,caused side effect,1,10,false,,,,,"if you are on <font color=""blue"">insulin</font> and your dosage isn't right you could have <font color=""red"">low blood sugars</font>."
711483492,false,finalized,3,4/29/15 23:12,personal experience,0.6662,was effective against,0.6662,11,false,,,,,"goodluck with your doctors appointment, i'm finding the <font color=""red"">bone gnawing ache</font> is only being helped by the <font color=""blue"">prednisone</font> and that would be lethal for you!"
711483493,false,finalized,3,4/29/15 17:55,question,0.6809,caused side effect,0.6809,12,false,,,,,"can any of the following cause persistent itching of skin and scalp (no <font color=""red"">rash</font>):nexium, <font color=""blue"">zetia</font>, zocor, diazide, benicar, clarinex, arthrotec?"
711483494,false,finalized,3,4/29/15 17:04,personal experience,1,caused side effect,1,13,false,,,,,"the <font color=""red"">back pain</font> started after i started <font color=""blue"">baycol</font>."
711483495,false,finalized,3,4/29/15 17:55,personal experience,1,caused side effect,0.6809,14,false,,,,,"update: this is the third day since i've been using <font color=""blue"">proactiv</font>, i have <font color=""red"">cyst</font> on my chin, it's slightly pianful, inflamed."
711483496,false,finalized,3,4/29/15 18:32,personal experience,1,caused side effect,1,15,false,,,,,"i went from <font color=""blue"">dilantin</font> to tegretol because of elevated <font color=""red"">liver enzymes</font>."
711483497,false,finalized,3,4/29/15 23:18,personal experience,0.6939,was effective against,0.6735,16,false,,,,,"i get <font color=""red"">migraine</font>'s like everyday, and i don't like pain pills but i take <font color=""blue"">zyprexa</font> can i still met a doctor to get medical marijuana?"
711483498,false,finalized,3,4/29/15 18:32,personal experience,0.6786,caused side effect,1,17,false,,,,,"well, i told her my concerns with the <font color=""blue"">humira</font> ( more <font color=""red"">infections</font> ), and asked her if she could recommend some natural supplements that i could add to my treatment..."
711483499,false,finalized,3,4/30/15 2:14,personal experience,1,caused side effect,0.6275,18,false,,,,,"i started <font color=""blue"">enbrel</font> a year ago and recently had an <font color=""red"">infection</font> that required me to stop the enbrel."
711483500,false,finalized,3,4/29/15 18:59,personal experience,1,was effective against,0.6596,19,false,,,,,"for me(<font color=""red"">ms</font> no willpower ), <font color=""blue"">chantix</font> is a miracle!"
711483501,false,finalized,3,4/29/15 17:00,impersonal experience negated,0.6596,caused side effect,1,20,false,,,,,"actually it is not a given that if you are on <font color=""blue"">remicade</font> that you get more <font color=""red"">infections</font>."
711483502,false,finalized,3,4/30/15 2:16,impersonal experience,0.6415,caused side effect,1,21,false,,,,,"you will experience next day <font color=""red"">drowsiness</font> with the <font color=""blue"">trazadone</font> and it can be pretty severe."
711483503,false,finalized,3,4/30/15 1:33,impersonal experience,1,other,0.3632,22,false,,,,,"you could try <font color=""blue"">benzoyl peroxide</font> or before you go to bed, you can put honey on a q tip, spread it around on the <font color=""red"">pimple</font>, and then cover it with a band aid."
711483504,false,finalized,3,4/29/15 22:55,impersonal experience negated,0.6667,caused side effect,0.6667,23,false,,,,,"if vaccines did truly cause diabetes, the stimulation of the immune system they cause would mean you would develop <font color=""red"">diabetes</font> in a matter of months after the <font color=""blue"">vaccine</font>."
711483505,false,finalized,3,4/30/15 4:31,personal experience,0.68,other,0.38,24,false,,,,,"the lithium caused <font color=""red"">stomach problems</font>, and he is now taking <font color=""blue"">depakote</font>, seraquel, clonazapam, and remeron."
711483506,false,finalized,3,4/29/15 18:00,personal experience,1,caused side effect,1,25,false,,,,,"re: the original post, though: i was put on <font color=""blue"">remicade</font> and only lasted a few months on it - i had reactions to it immediately, varying from rashes, <font color=""red"">hives</font> and eczema."
711483507,false,finalized,3,4/29/15 18:51,personal experience,0.6739,was effective against,1,26,false,,,,,"i agree that high <font color=""blue"">doses of vitamin c</font> stops the <font color=""red"">itching</font> and will be cutting out sugar and caffeine again as i've read that can help."
711483508,false,finalized,3,4/30/15 10:36,impersonal experience,1,caused side effect,1,27,false,,,,,"it's very common with <font color=""blue"">morphine</font> and not a reason to discontinue morphine if the only negative side effect is <font color=""red"">sleepyness</font>."
711483509,false,finalized,3,4/30/15 8:26,impersonal experience,1,caused side effect,1,28,false,,,,,"the doctors seem to like risperal but it does cause <font color=""red"">weight gain</font> a lot like <font color=""blue"">abilify</font>."
711483510,false,finalized,3,4/29/15 22:31,personal experience,0.6939,caused side effect,0.6735,29,false,,,,,"second it does cause <font color=""red"">weight gain</font> when combined with zyprexa and risperdal, but not when i am on risperdal, <font color=""blue"">zyprexa</font>, seroquel, geodon, and abilify."
711483511,false,finalized,3,4/29/15 17:02,personal experience,1,caused side effect,1,30,false,,,,,"sunny,  i too take lyrica and cymbalta and have taken cymbalta for aver a year now and <font color=""blue"">lyrica</font> for about 10 months and my fee just started <font color=""red"">swelling</font> after i had a minor surgery."
711483512,false,finalized,3,4/30/15 3:42,impersonal experience,0.64,caused side effect,1,31,false,,,,,"if you didn't have <font color=""red"">hair loss</font> from lupus before though, the <font color=""blue"">azathioprine</font> may be the cause."
711483513,false,finalized,3,4/29/15 21:28,impersonal experience,1,caused side effect,1,32,false,,,,,"<font color=""red"">weight loss</font> is a known side effect of <font color=""blue"">orencia</font>."
711483514,false,finalized,3,4/29/15 16:57,impersonal experience,1,caused side effect,1,33,false,,,,,"<font color=""blue"">insulin</font> and some oral medications can cause blood glucose levels to become dangerously low (<font color=""red"">hypoglycemia</font>)."
711483515,false,finalized,3,4/30/15 2:04,question,1,caused side effect,1,34,false,,,,,"could it be possible that all the <font color=""red"">bleeding</font> is due to the <font color=""blue"">coumadin</font>?"
711483516,false,finalized,3,4/29/15 19:37,personal experience,1,caused side effect,1,35,false,,,,,"after a week of using <font color=""blue"">novorapid</font> and lantus and having a terrible <font color=""red"">rash</font>, it was discovered that i am allergic to novorapid and have been put on to humalog."
711483517,false,finalized,3,4/30/15 3:27,personal experience,1,caused side effect,1,36,false,,,,,"when i was taken <font color=""blue"">requip</font> it made me very <font color=""red"">nauseated</font> and then someone told me to split the dosage."
711483518,false,finalized,3,4/29/15 22:40,personal experience,1,caused side effect,0.6735,37,false,,,,,"after, it was like constant <font color=""red"">diarrhea</font>, and i took some <font color=""blue"">probiotics</font> which seemed to slow things down some."
711483519,false,finalized,3,4/29/15 18:06,personal experience,0.6667,is prescibed for,0.6667,38,false,,,,,"i have treated with <font color=""blue"">permethrin cream</font> 3 times in the last month, and i am still <font color=""red"">itching</font>."
711483520,false,finalized,3,4/30/15 0:28,personal experience,0.6667,caused side effect,1,39,false,,,,,"gabapentin did nothing but <font color=""blue"">pregabalin</font> worked well, the 3 1/2st <font color=""red"">weight gain</font> was enough to make me come off of it tho ..."
711483521,false,finalized,3,4/30/15 1:58,personal experience,0.62,is prescibed for,0.62,40,false,,,,,"will prescribe compazine or <font color=""blue"">zofran</font> for the nausea and maybe ultracet / tramadol for your <font color=""red"">headaches</font>."
711483522,false,finalized,3,4/29/15 18:23,impersonal experience,1,caused side effect,1,41,false,,,,,"<font color=""blue"">accutane</font> is known to cause blueness and <font color=""red"">aggression</font>."
711483523,false,finalized,3,4/29/15 22:17,question,0.6884,caused side effect,1,42,false,,,,,"i do have a little <font color=""red"">headache</font> but i sometimes get one during my period or could it be the <font color=""blue"">clomid</font> itself?"
711483524,false,finalized,3,4/29/15 17:00,personal experience,1,caused side effect,1,43,false,,,,,"thanks all feel like im going mad at the moment the morning anxiety was so bad yesterday i got up took <font color=""blue"">paracetamol</font> for the headache valerian and 5htp then felt <font color=""red"">dizzy</font> and zonked out all day."
711483525,false,finalized,3,4/30/15 2:18,personal experience,1,caused side effect,1,44,false,,,,,"i find if i have less than 5g carbs, the <font color=""blue"">byetta</font> makes me feel <font color=""red"">nauseous</font> - around 8-10g for breakfast works best, then with my dinner shot, 35-50g carbs is fine."
711483526,false,finalized,3,4/29/15 20:50,impersonal experience,1,caused side effect,1,45,false,,,,,"the <font color=""red"">vertigo</font> is the worse withdraw symptom from <font color=""blue"">zoloft</font>."
711483527,false,finalized,3,4/29/15 22:11,impersonal experience,1,caused side effect,1,46,false,,,,,"kristigraham					replied june 17th, 2011					community volunteer 				    												    				    										    																		<font color=""blue"">seasonique</font> is well known for breakthrough bleeding and <font color=""red"">spotting</font> and it is likely just that."
711483528,false,finalized,3,4/29/15 16:37,personal experience,1,caused side effect,1,47,false,,,,,"when i first took <font color=""blue"">metformin 500mgs</font> twice a day (right after my hospital stay on first diagnosis of type 2), i experienced the <font color=""red"">nausea</font>, stomach ache, heartburn, headache and gas side effects."
711483529,false,finalized,3,4/30/15 6:08,impersonal experience,0.64,caused side effect,1,48,false,,,,,"urticaria pigmentosa is usually caused by an excess of inflammatory mast cells that release <font color=""blue"">histamine</font> which leads to swelling, <font color=""red"">itchiness</font> and redness in the affected area."
711483530,false,finalized,3,4/30/15 10:38,impersonal experience,1,was effective against,0.6875,49,false,,,,,"<font color=""blue"">viagra</font>, levitra, or cialis take every other day will reduce <font color=""red"">high blood pressure</font>."
711483531,false,finalized,3,4/30/15 3:48,personal experience,1,caused side effect,1,50,false,,,,,"i also afraid to try anti-depressants, tried <font color=""blue"">effexor</font> for 2 months, had horrible <font color=""red"">nightmares</font> and stopped the medication."
711483532,false,finalized,3,4/29/15 23:12,personal experience negated,0.6677,caused side effect,0.6677,51,false,,,,,"i was totally out for my d&c and did have some pain afterwards, but, <font color=""blue"">advil</font> did the trick, and, i did not have any <font color=""red"">bleeding</font> at all."
711483533,false,finalized,3,4/29/15 17:47,personal experience,0.6739,is prescibed for,0.6739,52,false,,,,,"she has not gotten her period since the initial <font color=""red"">bleeding</font> after the pregnancy, and then one period two days after starting the <font color=""blue"">micronor</font>, so we wouldn't even know if she is late."
711483534,false,finalized,3,4/29/15 17:02,personal experience,0.6712,caused side effect,1,53,false,,,,,"depakote use for movements and inattentionour son has been <font color=""blue"">risperidone</font> for a few months and although the aggressionhas come down substantially, his <font color=""red"">movement disorder</font> has increased."
711483535,false,finalized,3,4/29/15 17:04,impersonal experience,1,caused side effect,1,54,false,,,,,"but read this about zocor:-"" zocor users not warned of risks: the fda's june 2011 safety alert is the most serious of many warnings regarding <font color=""blue"">zocor</font> and associated risks of myopathy and <font color=""red"">rhabdomyolysis</font>."
711483536,false,finalized,3,4/29/15 21:26,personal experience,0.6872,other,0.6872,55,false,,,,,"i would put aquaphor and <font color=""blue"">antibiotic</font> it only help for few minutes after itching wouldn't stop i scratched and scratched i <font color=""red"">bleed</font> the more i have scratch the bigger its gotten since."
711483537,false,finalized,3,4/29/15 19:28,personal experience,1,caused side effect,1,56,false,,,,,"i recently started taking <font color=""blue"">savella</font> and i have constant <font color=""red"">headaches</font>, sore throat, ear ache, trouble sleeping and now i have severe jaw pain that comes and goes."
711483538,false,finalized,3,4/29/15 19:20,impersonal experience,0.6667,caused side effect,1,57,false,,,,,"hi elinor, the <font color=""red"">twitching</font> comes from the <font color=""blue"">mestinon</font>."
711483539,false,finalized,3,4/29/15 18:00,personal experience,1,other,0.6522,58,false,,,,,"5cm <font color=""red"">ovarian cyst</font> and my <font color=""blue"">estradiol</font> level was 380."
711483540,false,finalized,3,4/30/15 2:33,personal experience,1,was effective against,0.7115,59,false,,,,,"i take 300 mg ultram a day and <font color=""blue"">300 mg lyrica</font> a day and it's helped a bunch with my <font color=""red"">fatigue</font>."
711483541,false,finalized,3,4/29/15 18:33,personal experience,1,caused side effect,1,60,false,,,,,"i took <font color=""blue"">mobic</font> for joint pain at the beginning, but it gave me an <font color=""red"">ulcer</font> so i went off it and have since controlled my joint pain with weekly acupuncture, which has been remarkable."
711483542,false,finalized,3,4/29/15 19:43,personal experience,1,caused side effect,0.6327,61,false,,,,,"shortly after i have <font color=""red"">discomfort</font> urinating and went to my regular doctor for <font color=""blue"">antibiotics</font>."
711483543,false,finalized,3,4/29/15 21:03,impersonal experience,1,caused side effect,1,62,false,,,,,"it only affects dopamine, not serotonin so there are no sexual side effects   side effects listed for <font color=""blue"">emsam</font> include <font color=""red"">abnormal ejaculation</font>, decreased libido, impotence and anorgasmia."
711483544,false,finalized,3,4/29/15 18:59,personal experience,1,is prescibed for,0.6667,63,false,,,,,"dmarie129					replied october 15th, 2012					  				    												    				    										    																		i am currently on cefdinir 300mg for what is thought to be a bad <font color=""red"">uti</font> and <font color=""blue"">oxycodone 5mg</font> for any pain."
711483545,false,finalized,3,4/30/15 10:41,personal experience,0.66,caused side effect,1,64,false,,,,,"i have gained so much weight since diagnosed, was told the <font color=""blue"">insulin</font> causes <font color=""red"">weight gain</font> (on lantus and apidra)."
711483546,false,finalized,3,4/30/15 7:02,personal experience negated,0.6531,caused side effect,1,65,false,,,,,"i stand corrected regarding my own personal opinion about <font color=""blue"">metformin</font> not being the causal effect of <font color=""red"">leg cramps</font> - judging byfinntasticemma's experience."
711483547,false,finalized,3,4/29/15 17:28,impersonal experience,0.6766,is prescibed for,0.6766,66,false,,,,,"a drug prepared from natural or synthetic <font color=""blue"">progesterone</font>, used in the prevention of miscarriage, in the treatment of <font color=""red"">menstrual disorders</font>, and as a constituent of some oral contraceptives."
711483548,false,finalized,3,4/29/15 23:12,personal experience,0.6471,caused side effect,0.6471,67,false,,,,,"i've been on <font color=""blue"">levemir</font> for about 6-7 years now and experienced the red lumps and <font color=""red"">bruising</font> badly when i first started injecting."
711483549,false,finalized,3,4/29/15 18:03,personal experience,1,caused side effect,1,68,false,,,,,"meema, i do notice more <font color=""red"">drowsiness</font> now during the day (as opposed to the lethargy i used to have), which i think is the <font color=""blue"">elavil</font>."
711483550,false,finalized,3,4/29/15 17:04,impersonal experience,0.6677,caused side effect,1,69,false,,,,,"i talked to the re office and one of the nurses told me to stop taking <font color=""blue"">clomid</font> if i have blurred vision or <font color=""red"">issues with my eyes</font>."
711483551,false,finalized,3,4/30/15 8:51,question,1,is prescibed for,1,70,false,,,,,"is there a drug or supplement like megace (<font color=""blue"">megestrol</font>) that i can take for <font color=""red"">weight gain</font> that can be purchased over the counter?"
711483552,false,finalized,3,4/30/15 3:31,personal experience,1,was effective against,0.64,71,false,,,,,"my <font color=""red"">migraines</font> start about 2 am when i'm out of <font color=""blue"">steroids</font> in my system, so i take a small dose and try to go back to sleep."
711483553,false,finalized,3,4/29/15 20:45,impersonal experience negated,0.6809,caused side effect,0.6809,72,false,,,,,"a doctor friend of mine told me that <font color=""blue"">elidel</font>'s <font color=""red"">cancer</font> links are unfounded."
711483554,false,finalized,3,4/29/15 19:59,personal experience,0.6735,caused side effect,0.6735,73,false,,,,,"5mg klonopin and when i feel that <font color=""red"">shakiness</font> it feels like i have not taken my <font color=""blue"">klonopin</font> - i feel that it is setting me up to take more of the klonopin than i want to."
711483555,false,finalized,3,4/29/15 17:00,impersonal experience,1,caused side effect,1,74,false,,,,,"psyche wrote:   <quoted text>i'm talking about deaths that result from <font color=""red"">respiratory depression</font> as a result of a buildup of <font color=""blue"">methadone</font> in ones system especially when mixed with benzodiazepines or alcohol."
711483556,false,finalized,3,4/29/15 18:00,personal experience,1,caused side effect,0.6939,75,false,,,,,"recently i switched from <font color=""blue"">wellbutrin</font> to celexa and became very <font color=""red"">nauseaus</font>, fatigued..."
711483557,false,finalized,3,4/29/15 17:19,impersonal experience,0.6551,caused side effect,1,76,false,,,,,"also, i think there's a post either on here or on the anxiety board about someone having <font color=""red"">hair loss</font> from <font color=""blue"">klonopin</font> (clonazepam)."
711483558,false,finalized,3,4/29/15 18:09,question,1,caused side effect,1,77,false,,,,,"has anyone had the <font color=""blue"">levemir</font> give them crazy muscle aches or <font color=""red"">tiredness</font>?"
711483559,false,finalized,3,4/29/15 22:39,personal experience,0.68,caused side effect,1,78,false,,,,,"i'd stay away from vitamins for now, some vitamins can make <font color=""red"">diarrhea</font> worse like c and <font color=""blue"">magnesium</font>."
711483560,false,finalized,3,4/29/15 18:33,personal experience,1,is prescibed for,1,79,false,,,,,"the nurse practitioner gave me a needle for the pain, and then prescribed me <font color=""blue"">naproxen</font> for the pain and cyclobenzaprine for the <font color=""red"">spasms</font>."
711483561,false,finalized,3,4/30/15 8:50,personal experience,1,is prescibed for,0.3459,80,false,,,,,"i've been on <font color=""blue"">glucovance</font> (chronic diarrhea) and am now on glyburide (<font color=""red"">weight gain</font>)."
711483562,false,finalized,3,4/29/15 18:00,impersonal experience,1,caused side effect,1,81,false,,,,,"clinique-one of the side effects of <font color=""blue"">trileptal</font> is <font color=""red"">hyponatremia</font>, which is an abnormally low concentration of sodium in the blood."
711483563,false,finalized,3,4/29/15 17:13,personal experience,1,other,0.38,82,false,,,,,"so far i haven't had any more <font color=""red"">palpitations</font> but i still occasionally have the left sided headache even after the <font color=""blue"">prednisolone</font>(steriod) and gabapentin."
711483564,false,finalized,3,4/29/15 16:42,personal experience,1,was effective against,0.6739,83,false,,,,,"now i'm on <font color=""blue"">steroids</font> and the <font color=""red"">headache</font> is gone."
711483565,false,finalized,3,4/29/15 17:13,personal experience,0.62,caused side effect,1,84,false,,,,,"i am also on <font color=""blue"">metformin</font> which is sometimes associated with <font color=""red"">muscle pain</font>, too but i can't drop that because i need it to keep my bgs low."
711483566,false,finalized,3,4/29/15 17:02,impersonal experience,0.3425,caused side effect,0.6712,85,false,,,,,"sometimes steroid-induced diabetes is an early indicator and the person will develop <font color=""red"">diabetes</font> later in life even when not taking <font color=""blue"">steroids</font>."
711483567,false,finalized,3,4/29/15 22:24,personal experience,0.7059,was effective against,0.3529,86,false,,,,,"i stopped <font color=""blue"">cymbalta</font> on my own and had <font color=""red"">hallucinations</font> for three days!"
711483568,false,finalized,3,4/29/15 21:06,impersonal experience,1,caused side effect,1,87,false,,,,,"one reported side effect of <font color=""blue"">gabapentin</font> is <font color=""red"">weight gain</font>."
711483569,false,finalized,3,4/30/15 8:38,personal experience,1,other,0.6693,88,false,,,,,"im cycling with bravelle, <font color=""blue"">menopur</font>, & ganirelex with <font color=""red"">hcg</font> shot of ovidrel!"
711483570,false,finalized,3,4/30/15 3:27,impersonal experience,0.6875,caused side effect,1,89,false,,,,,"we are still convinced the use of <font color=""blue"">lipitor</font> caused both <font color=""red"">shingles</font> and parkinson's diseaase."
711483571,false,finalized,3,4/30/15 6:23,personal experience,1,caused side effect,1,90,false,,,,,"my neuro has me transitioning from keppra (side effect problem) to <font color=""blue"">lamictal</font> and, for the first time in my life, i'm afflicted with severe <font color=""red"">constipation</font>."
711483572,false,finalized,3,4/30/15 0:59,personal experience,1,caused side effect,1,91,false,,,,,"for me <font color=""blue"">lamictal</font> can make me tired one day then have <font color=""red"">insomnia</font> the next-it is a crazy med!!"
711483573,false,finalized,3,4/30/15 8:34,question,0.6735,is prescibed for,0.6735,92,false,,,,,"how long does it take for"" <font color=""red"">moon face</font>"" to go away after taking <font color=""blue"">prednisone</font>?"
711483574,false,finalized,3,4/29/15 21:00,impersonal experience,1,caused side effect,1,93,false,,,,,"i also just read something that says the <font color=""blue"">progesterone</font> in pregnancy is what makes you <font color=""red"">bloat</font>."
711483575,false,finalized,3,4/29/15 17:04,personal experience,0.6439,caused side effect,1,94,false,,,,,"my wife and i were concerned about my rapid weight gain after taking avandia and now we have just seen an  alert about <font color=""red"">heart failure</font> related to <font color=""blue"">avandia</font>."
711483576,false,finalized,3,4/30/15 4:31,personal experience,1,caused side effect,0.68,95,false,,,,,"i had some <font color=""red"">back pain</font> while on <font color=""blue"">gilenya</font>, but never developed your condition."
711483577,false,finalized,3,4/29/15 16:52,personal experience,1,is prescibed for,1,96,false,,,,,"he also gave me a probiotic called florastor, and <font color=""blue"">vicodin</font> and ambient as needed for pain and <font color=""red"">insomnia</font>.."
711483578,false,finalized,3,4/29/15 18:15,personal experience,1,caused side effect,1,97,false,,,,,"when i was on <font color=""blue"">leflunomide</font> i developed <font color=""red"">glandular fever</font> and whooping cough at the same time."
711483579,false,finalized,3,4/29/15 18:40,impersonal experience,1,caused side effect,1,98,false,,,,,"<font color=""blue"">aspirin</font> and other non steroidal anti inflammitory drugs   (nsaids)  can also produce <font color=""red"">bleeding ulcers</font> and other gastro intestinal distresses."
711483580,false,finalized,3,4/30/15 6:41,personal experience,1,caused side effect,1,99,false,,,,,"i was on a <font color=""blue"">diuretic</font> for high bp when i went on warfarin and the combination of the two gave me bad <font color=""red"">headaches</font> for weeks."
711483581,false,finalized,3,4/29/15 20:01,impersonal experience,1,caused side effect,1,100,false,,,,,"together, alcohol and <font color=""blue"">metformin</font> may increase the risk of <font color=""red"">lactic acidosis</font> and hypoglycemia."
